university,programme,spec_slug,currently_emitted_name,verified_name,page_url
"mahatma-gandhi-university-online","MBA","operations","Operations","","https://edifyedu.in/universities/mahatma-gandhi-university-online/mba/operations"
"manav-rachna-online","BBA","digital","Digital","","https://edifyedu.in/universities/manav-rachna-online/bba/digital"
"manav-rachna-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/manav-rachna-online/mba/hr-management"
"manav-rachna-online","MCA","cyber-security","Cyber Security","","https://edifyedu.in/universities/manav-rachna-online/mca/cyber-security"
"manipal-university-jaipur-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/manipal-university-jaipur-online/mba/hr-management"
"manipal-university-jaipur-online","MBA","operations","Operations","","https://edifyedu.in/universities/manipal-university-jaipur-online/mba/operations"
"manipal-university-jaipur-online","MBA","retail","Retail","","https://edifyedu.in/universities/manipal-university-jaipur-online/mba/retail"
"manonmaniam-sundaranar-university-online","MBA","finance","Finance","","https://edifyedu.in/universities/manonmaniam-sundaranar-university-online/mba/finance"
"manonmaniam-sundaranar-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/manonmaniam-sundaranar-university-online/mba/hr-management"
"manonmaniam-sundaranar-university-online","MBA","marketing","Marketing","","https://edifyedu.in/universities/manonmaniam-sundaranar-university-online/mba/marketing"
"marwadi-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/marwadi-university-online/mba/hr-management"
"marwadi-university-online","MCA","software-engineering","Software Engineering","","https://edifyedu.in/universities/marwadi-university-online/mca/software-engineering"
"marwadi-university-online","MCA","web-and-mobile","Web And Mobile","","https://edifyedu.in/universities/marwadi-university-online/mca/web-and-mobile"
"mats-university-online","BBA","general-management-contact-university-for-specialisation-structure","General Management Contact University For Specialisation Structure","","https://edifyedu.in/universities/mats-university-online/bba/general-management-contact-university-for-specialisation-structure"
"mats-university-online","BCA","general-computer-applications-contact-university-for-specialisation","General Computer Applications Contact University For Specialisation","","https://edifyedu.in/universities/mats-university-online/bca/general-computer-applications-contact-university-for-specialisation"
"mats-university-online","MBA","finance-marketing-human-resources-operations-strategy-contact-university-for-specialisation-structure","Finance Marketing Human Resources Operations Strategy Contact University For Specialisation Structure","","https://edifyedu.in/universities/mats-university-online/mba/finance-marketing-human-resources-operations-strategy-contact-university-for-specialisation-structure"
"mizoram-university-online","MBA","finance","Finance","","https://edifyedu.in/universities/mizoram-university-online/mba/finance"
"mizoram-university-online","MBA","marketing","Marketing","","https://edifyedu.in/universities/mizoram-university-online/mba/marketing"
"mizoram-university-online","MBA","supply-chain-management","Supply Chain Management","","https://edifyedu.in/universities/mizoram-university-online/mba/supply-chain-management"
"mody-university-online","MCA","artificial-intelligence-machine-learning","Artificial Intelligence Machine Learning","","https://edifyedu.in/universities/mody-university-online/mca/artificial-intelligence-machine-learning"
"nmims-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/nmims-online/mba/hr-management"
"nmims-online","MBA","marketing","Marketing","","https://edifyedu.in/universities/nmims-online/mba/marketing"
"noida-international-university-online","MCA","ai-data-science","AI Data Science","","https://edifyedu.in/universities/noida-international-university-online/mca/ai-data-science"
"noida-international-university-online","MCA","cyber-security","Cyber Security","","https://edifyedu.in/universities/noida-international-university-online/mca/cyber-security"
"northcap-university-online","BBA","finance","Finance","","https://edifyedu.in/universities/northcap-university-online/bba/finance"
"northcap-university-online","BBA","human-resource-management","Human Resource Management","","https://edifyedu.in/universities/northcap-university-online/bba/human-resource-management"
"northcap-university-online","BBA","marketing","Marketing","","https://edifyedu.in/universities/northcap-university-online/bba/marketing"
"parul-university-online","BCA","general-data-mining","General Data Mining","","https://edifyedu.in/universities/parul-university-online/bca/general-data-mining"
"parul-university-online","BCA","general-deep-learning","General Deep Learning","","https://edifyedu.in/universities/parul-university-online/bca/general-deep-learning"
"parul-university-online","BCA","general-machine-learning","General Machine Learning","","https://edifyedu.in/universities/parul-university-online/bca/general-machine-learning"
"parul-university-online","BCA","general-mobile-app-dev","General Mobile App Dev","","https://edifyedu.in/universities/parul-university-online/bca/general-mobile-app-dev"
"pp-savani-university-online","MBA","supply-chain-management","Supply Chain Management","","https://edifyedu.in/universities/pp-savani-university-online/mba/supply-chain-management"
"sathyabama-university-online","MBA","human-resources","Human Resources","","https://edifyedu.in/universities/sathyabama-university-online/mba/human-resources"
"savitribai-phule-pune-university-online","BCA","general","General","","https://edifyedu.in/universities/savitribai-phule-pune-university-online/bca/general"
"savitribai-phule-pune-university-online","BCA","general-android","General Android","","https://edifyedu.in/universities/savitribai-phule-pune-university-online/bca/general-android"
"savitribai-phule-pune-university-online","BCA","general-dbms","General Dbms","","https://edifyedu.in/universities/savitribai-phule-pune-university-online/bca/general-dbms"
"savitribai-phule-pune-university-online","BCA","general-dot-net","General Dot Net","","https://edifyedu.in/universities/savitribai-phule-pune-university-online/bca/general-dot-net"
"savitribai-phule-pune-university-online","BCA","general-java","General Java","","https://edifyedu.in/universities/savitribai-phule-pune-university-online/bca/general-java"
"savitribai-phule-pune-university-online","BCA","general-python","General Python","","https://edifyedu.in/universities/savitribai-phule-pune-university-online/bca/general-python"
"savitribai-phule-pune-university-online","BCA","general-software-testing","General Software Testing","","https://edifyedu.in/universities/savitribai-phule-pune-university-online/bca/general-software-testing"
"savitribai-phule-pune-university-online","BCA","general-web","General Web","","https://edifyedu.in/universities/savitribai-phule-pune-university-online/bca/general-web"
"sgt-university-online","BBA","analytics","Analytics","","https://edifyedu.in/universities/sgt-university-online/bba/analytics"
"sgt-university-online","BBA","finance","Finance","","https://edifyedu.in/universities/sgt-university-online/bba/finance"
"sgt-university-online","BBA","human-resources","Human Resources","","https://edifyedu.in/universities/sgt-university-online/bba/human-resources"
"sgt-university-online","BBA","marketing","Marketing","","https://edifyedu.in/universities/sgt-university-online/bba/marketing"
"sgt-university-online","BCA","artificial-intelligence-machine-learning","Artificial Intelligence Machine Learning","","https://edifyedu.in/universities/sgt-university-online/bca/artificial-intelligence-machine-learning"
"sgt-university-online","BCA","cloud-computing","Cloud Computing","","https://edifyedu.in/universities/sgt-university-online/bca/cloud-computing"
"sgt-university-online","BCA","cybersecurity","Cybersecurity","","https://edifyedu.in/universities/sgt-university-online/bca/cybersecurity"
"sgt-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/sgt-university-online/mba/hr-management"
"sharda-university-online","MCA","ar","Ar","","https://edifyedu.in/universities/sharda-university-online/mca/ar"
"sharda-university-online","MCA","augmented-reality-and-virtual-reality-with-artificial-intelligence","Augmented Reality And Virtual Reality With Artificial Intelligence","","https://edifyedu.in/universities/sharda-university-online/mca/augmented-reality-and-virtual-reality-with-artificial-intelligence"
"sharda-university-online","MCA","computer-science-and-information-technology","Computer Science And Information Technology","","https://edifyedu.in/universities/sharda-university-online/mca/computer-science-and-information-technology"
"sharda-university-online","MCA","vr-and-information-security","Vr And Information Security","","https://edifyedu.in/universities/sharda-university-online/mca/vr-and-information-security"
"shobhit-university-online","MBA","finance","Finance","","https://edifyedu.in/universities/shobhit-university-online/mba/finance"
"shobhit-university-online","MBA","human","Human","","https://edifyedu.in/universities/shobhit-university-online/mba/human"
"shobhit-university-online","MBA","marketing","Marketing","","https://edifyedu.in/universities/shobhit-university-online/mba/marketing"
"shobhit-university-online","MCA","artificial-intelligence-machine-learning","Artificial Intelligence Machine Learning","","https://edifyedu.in/universities/shobhit-university-online/mca/artificial-intelligence-machine-learning"
"shoolini-university-online","BBA","bba","Bba","","https://edifyedu.in/universities/shoolini-university-online/bba/bba"
"shoolini-university-online","BCA","bca","Bca","","https://edifyedu.in/universities/shoolini-university-online/bca/bca"
"shoolini-university-online","MBA","banking-insurance","Banking Insurance","","https://edifyedu.in/universities/shoolini-university-online/mba/banking-insurance"
"shoolini-university-online","MBA","data-science-business-analytics","Data Science Business Analytics","","https://edifyedu.in/universities/shoolini-university-online/mba/data-science-business-analytics"
"shoolini-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/shoolini-university-online/mba/hr-management"
"shoolini-university-online","MBA","marketing","Marketing","","https://edifyedu.in/universities/shoolini-university-online/mba/marketing"
"shoolini-university-online","MBA","operation-supply-chain-management","Operation Supply Chain Management","","https://edifyedu.in/universities/shoolini-university-online/mba/operation-supply-chain-management"
"shoolini-university-online","MBA","pharma-health-care-management","Pharma Health Care Management","","https://edifyedu.in/universities/shoolini-university-online/mba/pharma-health-care-management"
"shoolini-university-online","MBA","retail","Retail","","https://edifyedu.in/universities/shoolini-university-online/mba/retail"
"shoolini-university-online","MCA","ai-specialization","AI Specialization","","https://edifyedu.in/universities/shoolini-university-online/mca/ai-specialization"
"shoolini-university-online","MCA","full-stack","Full Stack","","https://edifyedu.in/universities/shoolini-university-online/mca/full-stack"
"subharti-university-online","MBA","finance","Finance","","https://edifyedu.in/universities/subharti-university-online/mba/finance"
"subharti-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/subharti-university-online/mba/hr-management"
"subharti-university-online","MBA","marketing","Marketing","","https://edifyedu.in/universities/subharti-university-online/mba/marketing"
"teerthanker-mahaveer-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/teerthanker-mahaveer-university-online/mba/hr-management"
"university-of-lucknow-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/university-of-lucknow-online/mba/hr-management"
"university-of-madras-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/university-of-madras-online/mba/hr-management"
"university-of-mysore-online","MBA","data-science-and-business-analytics","Data Science And Business Analytics","","https://edifyedu.in/universities/university-of-mysore-online/mba/data-science-and-business-analytics"
"university-of-mysore-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/university-of-mysore-online/mba/hr-management"
"upes-online","BBA","finance","Finance","","https://edifyedu.in/universities/upes-online/bba/finance"
"upes-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/upes-online/mba/hr-management"
"upes-online","MBA","marketing","Marketing","","https://edifyedu.in/universities/upes-online/mba/marketing"
"upes-online","MBA","operations","Operations","","https://edifyedu.in/universities/upes-online/mba/operations"
"upes-online","MBA","supply-chain-management","Supply Chain Management","","https://edifyedu.in/universities/upes-online/mba/supply-chain-management"
"upes-online","MCA","cyber-security-and-forensics","Cyber Security And Forensics","","https://edifyedu.in/universities/upes-online/mca/cyber-security-and-forensics"
"upes-online","MCA","cyber-security-forensics","Cyber Security Forensics","","https://edifyedu.in/universities/upes-online/mca/cyber-security-forensics"
